Serial 	FileName 	SBD 	MaDe 	BaiLam
160	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_17.jpg	00012673	0003	BADADCDCBBCB____________________________          
161	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_18.jpg	00012046	0002	DDBBBBACADAC____________________________          
162	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_19.jpg	00012070	0002	DDBBBBACADAC____________________________          
163	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_2.jpg	00012283	0004	BCAAABDBCDBD____________________________          
164	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_20.jpg	00012094	0004	BCAABBDBCDBD____________________________          
165	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_21.jpg	00012113	0001	DDBCACCBDDBB____________________________          
166	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_22.jpg	00012141	0001	DDBCACCBDDBB____________________________          
167	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_23.jpg	00012169	0003	AADADCDCBBCB____________________________          
168	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_24.jpg	00012196	0004	BCAABBDBCDBD____________________________          
169	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_3.jpg	00012310	0002	DDBBBBACADAC____________________________          
170	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_4.jpg	00012331	0004	BCAABBDBCDBD____________________________          
171	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_5.jpg	00012365	0004	BCAABBDBCDBD____________________________          
172	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_6.jpg	00012391	0001	DDBDACCBCDBB____________________________          
173	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_7.jpg	00012419	0004	BCAABBDBCDBD____________________________          
174	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_8.jpg	00012448	0003	BADADCDCBBCB____________________________          
175	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_9.jpg	00012476	0003	BADADCDCBBCB____________________________          
176	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008.jpg	00012228	0003	BADADCDBBBCB____________________________          
177	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008_1.jpg	00012257	0001	DDBCACCBDDBB____________________________          
178	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008_10.jpg	00012009	0004	BCAABBDBCDBD____________________________          
179	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008_11.jpg	00012502	0002	DDBBBBCCAAAC____________________________          
180	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008_12.jpg	00012532	0002	DDBBBBACADAC____________________________          
181	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008_13.jpg	00012563	0003	BADADCDCBBCB____________________________          
182	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008_14.jpg	00012584	0004	BCAABBDBCDBD____________________________          
183	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\008_15.jpg	00012633	0003	BADAACDCBBBB____________________________          
